Difficulty,Type,Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3
easy,multiple,Who is the chemical element Curium named after?,Marie & Pierre Curie,The Curiosity Rover,Curious George,Stephen Curry
medium,multiple,What is the name of the Supermassive Black Hole in the centre of the Milky Way?,Sagittarius A*,Messier 87,Alpha Centauri,Andromeda
easy,multiple,What is the largest animal currently on Earth?,Blue Whale,Orca,Colossal Squid,Giraffe
medium,multiple,What do you study if you are studying entomology?,Insects,Humans,the Brain,Fish
hard,multiple,"In quantum physics, which of these theorised sub-atomic particles has yet to be observed?",Graviton,Z boson,Tau neutrino,Gluon
easy,multiple,Which of these Elements is a metalloid?,Antimony,Tin,Bromine,Rubidium
hard,multiple,Which of the following liquids is least viscous? Assume temperature is 25°C.,Acetone,Water,Mercury,Benzene
medium,estimate,Down Syndrome is usually caused by an extra copy of which chromosome?,21,23,15,24
hard,multiple,What was the first organic compound to be synthesized from inorganic compounds?,Urea,Propane,Ethanol,Formaldehyde
medium,multiple,The medical condition osteoporosis affects which part of the body?,Bones,Skin,Brain,Heart
easy,estimate,How many bones are in the human body?,206,203,209,200
medium,multiple,Which psychological term refers to the stress of holding contrasting beliefs?,Cognitive Dissonance,Flip-Flop Syndrome,Split-Brain,Blind Sight
medium,multiple,What is radiation measured in?,Gray ,Watt,Decibel,Kelvin
medium,multiple,Which of these is NOT a bone found in the human arm?,Tibia,Humerus,Ulna,Radius
medium,multiple,What is the lowest layer of the Earth's atmosphere named?,Troposphere,Stratosphere,Mesosphere,Thermosphere
easy,multiple,How many moons does Pluto have?,Five,Two,Three,One
hard,multiple,"On the Beaufort Scale of wind force, what wind name is given to number 8?",Gale,Storm,Hurricane,Breeze
easy,multiple,Which of the following blood vessels carries deoxygenated blood?,Pulmonary Artery,Pulmonary Vein,Aorta,Coronary Artery
easy,boolean,An Astronomical Unit is the distance between Earth and the Moon.,False,True,,
medium,multiple,What is the standard SI unit for electric current?,Ampere,Volt,Ohm,Watt
medium,multiple,What is the colour of unoxidized blood?,Red,Blue,Purple,Green
easy,multiple,Which of the following bones is not in the leg?,Radius,Patella,Tibia,Fibula 
